Passenger_count,Trip_distance,Fare_amount,Tip_amount,Total_amount
1,0.38,3.5,0,4.8
1,0.07,19,0,19
1,3.68,16.5,3.56,21.36
1,1.15,6.5,0,7.8
2,3.66,14.5,0,15.8
1,0.89,5.5,0,6.8
1,1.22,6,1.46,8.76
1,5.87,19,0,20.3
1,2.99,14,3.82,19.12
1,1.67,9,0,10.3
2,0.56,4,0,5.3
1,6.58,21.5,0,22.8
2,2.49,10,3.39,14.69
1,1.74,9,2.58,12.88
1,4.21,16.5,3.56,21.36
3,4.29,12,0,12
1,1.89,9.5,2.16,12.96
1,3.4,13,0,14.3
1,6.69,23,4.86,29.16
1,4.31,14,0,15.3
1,2.12,8.5,0,9.8
1,2,9.5,2.16,12.96
1,1.52,8,0,9.3
1,2.72,13.5,2.96,17.76
1,3.58,13.5,0,14.8
5,2.03,9,2.06,12.36
1,1.25,7.5,0,8.8
1,4.11,18,0,19.3
1,1.53,7,0,8.3
1,1.41,7.5,2.64,11.44
1,2.59,11.5,0,12.8
1,1.75,9,0,10.3
1,5.7,20,0,21.3
1,3.71,14,0,15.3
1,1.87,10.5,0,11.8
5,1.37,7,0,8.3
1,1.44,8,0,9.3
1,1.27,7.5,0,8.8
1,1.01,6,1.46,8.76
1,0.99,5.5,0,6.8
1,4.66,15.5,3.36,20.16
1,0.99,5,0,6.3
1,10.35,29.5,0,30.8
5,2.35,9,0,10.3
1,1.53,7.5,0,8.8
1,7.61,24.5,6.45,32.25
2,9.93,33.5,12.1,52.44
2,2.58,12.5,0,13.8
1,3.85,14.5,0,15.8
1,5.21,20.5,0,21.8
1,1.48,7,0,8.3
1,5.67,17.5,0,18.8
1,0,2.5,0,3.8
1,0.89,4.5,0,5.8
1,5.52,17,0,18.3
1,0.4,4,0,5.3
1,2.48,11,0,12.3
6,3.66,13.5,0,14.8
1,6.74,22,4.66,27.96
1,2.18,8,0,9.3
2,1.55,8,0,9.3
1,1.37,7.5,0,8.8
1,3.38,16,3.46,20.76
1,1.77,8.5,0,9.8
1,1.61,8.5,0,9.8
1,0.42,3.5,0,4.8
5,2.73,13,2.86,17.16
1,5.26,20.5,0,21.8
